,campus,curso,anoingresso,periodoingresso,rendabruta,ira,modalidade,genero,raca,idade,idioma,ficou_tempo_sem_estudar,quantidade_computadores,companhia_domiciliar,mae_nivel_escolaridade,pai_nivel_escolaridade,quantidade_notebooks,estado_civil,qtd_filhos,tipo_area_residencial,trabalha,reprovacoes,reprovacoes_por_falta,percentual_carga_horaria_frequentada_mean,carga_horaria_total
31790,btc,buriticupu - licenciatura em biologia enem - noturno,2019,2,650.0,8.32,licenciatura,f,parda,20,false,false,0.0,pais,não estudou,não estudou,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
3724,cax,caxias - licenciatura em formação pedagógica para graduados não licenciados,2018,2,944.0,9.57,licenciatura,m,parda,46,true,false,1.0,cônjuge,ensino médio incompleto,ensino médio completo,1.0,casado(a),1,urbano,trabalha com vínculo empregatício,0.0,0.0,0.0,0.0
6933,mtc,técnico em eletrotécnica integrado tc: área: controle e processos industriais (campus são luís monte castelo),2017,1,2006.0,8.49,integrado,f,branca,19,false,false,0.0,mãe,ensino superior completo,ensino médio completo,0.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
20753,bdc,curso de bacharelado em administração,2018,1,2919.25,0.0,bacharelado,m,preta,25,true,false,0.0,mãe,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
4568,bar,barreirinhas - técnico em agenciamento de viagem,2015,1,500.0,8.18,integrado,f,parda,23,false,false,0.0,mãe,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
24058,gra,técnico em edificações subsequente,2019,1,3101.28,9.65,subsequente,f,parda,19,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental incompleto,2.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
31022,btc,buriticupu - licenciatura em biologia enem - noturno,2018,2,600.0,6.38,licenciatura,f,parda,25,false,false,0.0,cônjuge,ensino fundamental incompleto,ensino fundamental incompleto,0.0,casado(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
12598,mtc,técnico em edificações integrado tc: n área: infraestrutura,2014,1,2000.0,8.54,integrado,m,branca,21,true,false,0.0,parentes,ensino fundamental incompleto,ensino fundamental completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
8603,sjr,técnico em informática para internet concomitante,2017,2,7000.0,8.73,concomitante,f,preta,20,false,false,0.0,parentes,ensino superior completo,pós-gradução completa,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
19066,ros,técnico em administração subsequente,2018,1,1500.0,8.38,subsequente,f,parda,22,false,false,0.0,mãe,ensino médio completo,ensino médio completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
30407,cch,técnico em artes visuais-integrado,2014,1,700.0,8.54,integrado,f,parda,21,false,false,0.0,pais,ensino médio completo,ensino médio incompleto,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
4657,cnt,técnico em administração integrado ao ensino médio,2015,1,937.0,8.09,integrado,m,preta,21,false,false,0.0,mãe,ensino médio completo,não sei informar,1.0,solteiro(a),0,urbano,serviço público,0.0,0.0,0.0,0.0
27971,pdu,técnico em meio ambiente,2020,1,11.3,0.0,integrado,f,parda,16,false,false,0.0,mãe,ensino superior incompleto,não sei informar,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
30614,mar,técnico em agropecuária - ead,2018,1,954.0,0.0,subsequente,m,branca,22,false,false,0.0,pais,ensino médio completo,ensino fundamental incompleto,0.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
6176,itz,licenciatura em física - imperatriz,2016,1,0.0,7.72,licenciatura,f,parda,23,false,false,0.0,pais,ensino fundamental completo,ensino fundamental incompleto,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
16489,mar,maracanã - curso técnico em meio ambiente subsequente,2017,1,600.0,8.53,subsequente,f,parda,32,false,false,0.0,mãe,ensino médio completo,ensino fundamental incompleto,0.0,solteiro(a),2,urbano,não está trabalhando,0.0,0.0,0.0,0.0
30228,mar,maracanã - curso técnico em agropecuária integrado 2012,2019,1,918.16,5.25,integrado,m,parda,16,false,false,1.0,pais,pós-gradução completa,ensino fundamental incompleto,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
5407,cch,curso técnico em mecânica,2018,2,0.0,8.6,subsequente,m,preta,20,true,false,0.0,mãe,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
32129,cod,bacharelado em agronomia,2018,1,400.0,0.0,bacharelado,m,branca,28,false,false,0.0,sozinho,ensino médio completo,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,trabalho informal/bico,0.0,0.0,0.0,0.0
22300,pin,pinheiro -técnico em marketing,2015,1,675.0,0.0,integrado,m,branca,21,false,false,0.0,outro,alfabetizado,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
3872,mar,técnico em agropecuária - ead,2018,1,0.0,0.0,subsequente,m,parda,34,false,false,0.0,cônjuge,ensino médio completo,alfabetizado,0.0,casado(a),1,rural,trabalho informal/bico,0.0,0.0,0.0,0.0
18960,mar,licenciatura em ciências agrárias,2019,1,0.0,0.0,licenciatura,f,branca,20,true,false,0.0,tios,ensino superior incompleto,ensino médio completo,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
26927,mar,técnico em agropecuária - ead,2018,1,0.0,0.0,subsequente,f,branca,22,true,false,0.0,mãe,ensino médio incompleto,ensino superior completo,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
29344,sin,santa inês - técnico em eletromecânica integrado ao ensino médio,2016,1,500.0,7.59,integrado,m,preta,19,false,false,0.0,pais,ensino fundamental completo,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
16879,mar,técnico em agropecuária - ead,2018,1,0.0,7.71,subsequente,m,preta,30,false,false,0.0,cônjuge,ensino fundamental incompleto,não estudou,0.0,união estável,0,assentamento rural,serviço público,0.0,0.0,0.0,0.0
4480,cnt,técnico em informática integrado ao ensino médio,2016,1,250.0,8.25,integrado,f,parda,22,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
7457,cax,caxias - técnico em administração,2013,1,0.0,7.72,integrado,f,parda,22,false,false,0.0,mãe,ensino médio incompleto,alfabetizado,1.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
33727,mtc,licenciatura em química ead,2017,1,0.0,4.39,licenciatura,m,parda,44,true,true,0.0,cônjuge,ensino fundamental incompleto,ensino fundamental incompleto,1.0,casado(a),4,urbano,empresa privada,0.0,0.0,0.0,0.0
9356,bdc,curso técnico em informática integrado ao ensino médio: tc: area: informação e comunicação,2017,1,2298.0,7.81,integrado,m,parda,19,false,false,0.0,pais,ensino médio incompleto,ensino médio completo,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
12346,cch,curso técnico em eventos - integrado,2016,1,937.0,7.92,integrado,f,preta,20,false,false,0.0,mãe,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
33116,pfr,técnico em meio ambiente integrado ao ensino médio,2017,1,937.0,8.48,integrado,f,parda,19,false,false,0.0,mãe,ensino médio completo,ensino médio incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
19941,mtc,licenciatura em química,2016,1,1988.0,7.27,licenciatura,m,parda,24,true,false,0.0,pais,ensino médio completo,ensino médio completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
3929,bar,barreirinhas - técnico em meio ambiente,2014,1,880.0,7.92,integrado,f,parda,23,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
12272,vna,técnico em administração subsequente,2018,1,998.0,8.15,subsequente,m,parda,22,false,false,0.0,mãe,ensino fundamental completo,não sei informar,1.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
23133,cax,caxias - técnico em agroindústria,2017,1,0.0,8.08,integrado,f,branca,18,false,false,0.0,mãe,ensino médio completo,ensino superior incompleto,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
10168,cch,curso técnico em meio ambiente integrado,2015,1,2420.95,8.98,integrado,f,parda,20,false,false,0.0,pais,ensino médio completo,ensino médio completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
11027,pdu,técnico em agronegócio,2020,1,10.45,0.0,integrado,m,branca,18,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
783,srm,curso técnico em agropecuária - subsequente - mangabeiras,2016,2,950.0,8.25,subsequente,m,parda,26,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
6847,mtc,engenharia mecânica industrial,2012,2,0.0,7.23,bacharelado,m,parda,28,true,false,0.0,cônjuge,ensino médio completo,ensino médio completo,1.0,casado(a),0,urbano,autônomo,0.0,0.0,0.0,0.0
9435,ros,técnico em administração concomitante,2016,2,930.0,8.25,concomitante,f,parda,21,false,false,0.0,parentes,ensino médio completo,ensino fundamental incompleto,1.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
4787,bac,técnico em informática na forma integrada ao ensino médio,2016,1,0.0,7.63,integrado,m,parda,19,false,false,0.0,pais,ensino médio incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,trabalho informal/bico,0.0,0.0,0.0,0.0
21667,cax,caxias - técnico em informática,2015,1,937.0,8.12,integrado,m,parda,21,false,false,0.0,pais,ensino médio completo,ensino fundamental incompleto,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
7479,bac,técnico em informática na forma integrada ao ensino médio,2017,1,862.05,8.65,integrado,m,branca,18,false,false,0.0,parentes,não estudou,ensino fundamental incompleto,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
25427,mar,maracanã - curso técnico em aquicultura integrado,2017,1,600.0,0.0,integrado,f,branca,19,false,false,0.0,mãe,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
13567,bar,barreirinhas - técnico em agroindustria integrado,2014,1,2000.0,7.57,integrado,f,parda,21,false,false,1.0,pais,ensino médio completo,ensino médio completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
28847,mtc,técnico em design de móveis integrado tc: t n áre: produção cultural e design,2016,1,700.0,8.44,integrado,m,parda,20,false,false,0.0,parentes,ensino médio incompleto,ensino fundamental incompleto,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
15805,itz,técnico em edificações integrado - itz,2017,1,0.0,0.0,integrado,m,parda,19,false,false,0.0,mãe,pós-gradução completa,ensino médio completo,1.0,solteiro(a),0,urbano,serviço público,0.0,0.0,0.0,0.0
18533,cch,curso técnico em manutenção de máquinas industriais,2016,1,1152.0,7.31,integrado,m,parda,20,false,false,1.0,outro,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
3835,mtc,técnico em eletrônica integrado tc: área: informação e controle industriais,2017,1,0.0,9.05,integrado,m,preta,17,true,false,0.0,pais,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
491,cax,caxias - bacharelado em zootecnia,2014,1,860.0,7.73,bacharelado,f,parda,24,false,false,0.0,parentes,ensino médio completo,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
22928,mtc,técnico em eletromecânica integrado tc: t n área: controle e processos industriais,2015,1,750.0,6.48,integrado,m,parda,21,false,false,0.0,mãe,ensino médio incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
15743,mar,técnico em agropecuária - ead,2018,1,0.0,7.73,subsequente,m,branca,28,true,false,0.0,pais,ensino fundamental incompleto,ensino médio incompleto,0.0,solteiro(a),0,urbano,trabalho informal/bico,0.0,0.0,0.0,0.0
22973,srm,técnico em geoprocessamento,2019,1,400.0,5.8,subsequente,m,parda,21,false,false,0.0,mãe,ensino fundamental completo,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,trabalho informal/bico,0.0,0.0,0.0,0.0
26989,cax,caxias - técnico em informática,2015,1,3748.0,8.47,integrado,m,preta,20,true,false,1.0,pais,pós-gradução completa,ensino médio completo,2.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
34427,mtc,técnico em eletromecânica tc: nárea: controle e processos industriais,2015,1,1000.0,8.36,concomitante,f,parda,20,false,false,0.0,parentes,ensino médio completo,ensino superior completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
1170,mtc,técnico em informática integrado tc: t área: informação e comunicação,2015,1,4097.54,8.54,integrado,m,parda,21,false,false,1.0,pais,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
7450,cnt,técnico em administração integrado ao ensino médio,2015,1,1779.0,8.35,integrado,f,parda,24,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental completo,0.0,solteiro(a),0,urbano,autônomo,0.0,0.0,0.0,0.0
3815,itz,tecnico em segurança do trabalho integrado - itz,2015,1,3800.0,7.61,integrado,m,branca,20,true,false,0.0,pais,pós-gradução completa,pós-gradução completa,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
31015,sin,santa inês - licenciatura em física,2017,1,1200.0,5.51,licenciatura,f,branca,21,false,false,1.0,pais,ensino fundamental incompleto,ensino médio completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
26045,sjp,sjp - bacharelado em administração,2020,1,1996.0,0.0,bacharelado,m,branca,19,true,false,0.0,pais,ensino médio incompleto,não estudou,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
25595,mtc,técnico em eletrotécnica integrado tc: área: controle e processos industriais (campus são luís monte castelo),2016,1,2252.0,4.42,integrado,f,parda,20,false,false,0.0,mãe,ensino médio completo,ensino médio completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
2717,cax,caxias - bacharelado em zootecnia,2016,2,937.0,6.02,bacharelado,f,parda,23,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental incompleto,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
15395,cod,licenciatura em ciências agrárias,2019,1,800.0,0.0,licenciatura,f,parda,29,false,false,0.0,pais,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
12989,ped,técnico em petróleo e gás,2017,2,5337.52,9.08,subsequente,m,parda,33,false,false,0.0,pais,ensino médio completo,ensino fundamental completo,1.0,solteiro(a),0,urbano,serviço público,0.0,0.0,0.0,0.0
1240,bar,barreirinhas - técnico em agenciamento de viagem,2016,1,400.0,8.16,integrado,f,parda,19,false,false,0.0,pais,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
7508,bac,licenciatura plena em química (sisu),2013,1,1000.0,7.52,licenciatura,m,parda,26,false,false,0.0,mãe,ensino fundamental incompleto,não sei informar,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
28086,mtc,técnico em eletrotécnica tc: t nárea: controle e processos industriais,2015,1,1102.2,7.38,concomitante,m,parda,22,false,false,0.0,parentes,ensino superior completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
15505,mtc,técnico em eletrotécnica integrado tc: área: controle e processos industriais (campus são luís monte castelo),2015,1,0.0,8.49,integrado,m,parda,20,false,false,0.0,pais,ensino médio completo,alfabetizado,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
11005,sin,santa inês - técnico em administração integrado proeja,2017,1,600.0,0.0,integrado eja,m,parda,23,false,false,0.0,mãe,ensino fundamental completo,não sei informar,0.0,solteiro(a),0,urbano,trabalho informal/bico,0.0,0.0,0.0,0.0
7453,cax,caxias - licenciatura em formação pedagógica para graduados não licenciados,2018,2,45.0,9.17,licenciatura,f,branca,24,false,false,1.0,pais,pós-gradução completa,pós-gradução completa,1.0,solteiro(a),0,urbano,autônomo,0.0,0.0,0.0,0.0
30034,srm,srm-técnico em administração,2016,2,624.0,0.0,subsequente,f,parda,27,false,false,0.0,pais,ensino fundamental incompleto,não sei informar,0.0,solteiro(a),1,urbano,trabalho informal/bico,0.0,0.0,0.0,0.0
32216,sjr,técnico em eletroeletrônica integrado,2017,1,500.0,8.02,integrado,m,parda,19,false,false,0.0,pais,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,autônomo,0.0,0.0,0.0,0.0
22083,mtc,técnico em design de móveis integrado tc: t n áre: produção cultural e design,2016,1,1311.94,9.1,integrado,f,parda,20,false,false,0.0,pais,ensino fundamental incompleto,ensino fundamental completo,1.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
4584,pin,pinheiro - técnico em recursos humanos,2016,1,950.0,0.0,integrado,f,parda,18,false,false,0.0,outro,ensino médio completo,ensino médio completo,1.0,solteiro(a),0,urbano,autônomo,0.0,0.0,0.0,0.0
21683,cch,técnico em artes visuais-integrado,2016,1,4000.0,8.12,integrado,m,parda,21,false,false,0.0,pais,ensino superior completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
569,cax,caxias - bacharelado em zootecnia,2019,2,1789.85,1.91,bacharelado,f,parda,22,false,false,0.0,pais,ensino fundamental incompleto,ensino superior completo,0.0,solteiro(a),0,rural,nunca trabalhou,0.0,0.0,0.0,0.0
20293,sjp,sjp - curso técnico em redes de computadores,2017,1,5000.0,7.24,integrado,f,parda,19,false,false,0.0,pais,pós-gradução completa,ensino médio incompleto,2.0,união estável,0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
28097,mar,técnico em agropecuária - ead,2018,1,0.0,7.99,subsequente,m,branca,33,false,false,0.0,cônjuge,ensino médio completo,ensino fundamental completo,0.0,solteiro(a),1,urbano,serviço público,0.0,0.0,0.0,0.0
11302,mtc,técnico em eletromecânica integrado tc: t n área: controle e processos industriais,2017,1,3430.31,8.86,integrado,m,branca,19,false,false,1.0,pais,ensino superior incompleto,ensino superior incompleto,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
16492,vna,técnico em informática subsequente,2017,1,300.0,7.99,subsequente,m,parda,23,false,false,1.0,mãe,ensino médio incompleto,ensino fundamental completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
10122,cnt,técnico em administração integrado ao ensino médio,2016,1,937.0,8.29,integrado,f,parda,22,false,false,0.0,parentes,ensino fundamental incompleto,ensino fundamental incompleto,0.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
16850,cch,curso técnico em mecânica,2017,1,0.0,7.64,subsequente,m,branca,24,false,false,0.0,outro,ensino fundamental incompleto,ensino fundamental completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
26222,mtc,técnico em eletromecânica integrado tc: t n área: controle e processos industriais,2014,1,2000.0,8.15,integrado,f,parda,20,false,false,0.0,pais,ensino médio completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
13238,mtc,licenciatura em física,2017,1,1500.0,7.74,licenciatura,f,parda,24,false,false,0.0,parentes,não sei informar,não sei informar,1.0,solteiro(a),0,urbano,não está trabalhando,0.0,0.0,0.0,0.0
1091,bdc,curso técnico em química integrado ao ensino médio- tc: área: controle e processos industriais,2017,1,954.0,7.9,integrado,f,parda,18,false,false,1.0,mãe,ensino fundamental completo,não sei informar,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
7774,cod,bacharelado em agronomia,2018,1,928.0,6.47,bacharelado,m,parda,32,false,false,0.0,pais,ensino médio completo,ensino fundamental incompleto,0.0,união estável,4,urbano,trabalho informal/bico,0.0,0.0,0.0,0.0
27901,itz,bacharelado em engenharia elétrica  imperatriz,2015,2,0.0,2.35,bacharelado,m,parda,34,false,false,0.0,cônjuge,ensino médio completo,ensino fundamental incompleto,0.0,casado(a),3,urbano,trabalha com vínculo empregatício,0.0,0.0,0.0,0.0
7748,ped,técnico em eletromecânica na forma integrada ao ensino médio,2017,1,2596.0,7.39,integrado,m,branca,20,true,false,0.0,pais,ensino superior completo,ensino médio completo,0.0,solteiro(a),0,urbano,nunca trabalhou,0.0,0.0,0.0,0.0
